payment_id,order_id,payment_method,payment_value
284,1621,Credit Card,447.27
285,94,Credit Card,522.81
286,1529,Boleto,78.21
287,939,Credit Card,418.94
288,1174,Debit Card,786.74
289,282,Boleto,718.51
290,400,Credit Card,456.51
291,304,Debit Card,248.59
292,1805,Pix,641.12
293,1485,Boleto,418.64
294,1207,Credit Card,553.67
295,1282,Boleto,467.48
296,788,Boleto,344.99
297,1893,Debit Card,243.22
298,1319,Credit Card,198.91
299,1398,Pix,443.25
300,715,Pix,190.03
301,183,Debit Card,290.44
302,738,Pix,849.68
303,859,Boleto,225.86
304,199,Boleto,210.88
305,1423,Debit Card,314.96
306,398,Boleto,516.34
307,1092,Boleto,892.59
308,1031,Debit Card,134.43
309,1158,Pix,681.46
310,355,Credit Card,707.59
311,1260,Credit Card,267.73
312,1210,Boleto,78.41
313,1854,Pix,587.69
314,1528,Pix,958.02
315,1388,Boleto,927.39
316,1673,Pix,985.84
317,1490,Boleto,211.57
318,1305,Debit Card,986.25
319,1540,Boleto,42.31
320,1311,Boleto,612.49
321,498,Credit Card,95.46
322,1566,Pix,187.51
323,1378,Pix,506.07
324,415,Debit Card,519.2
325,1274,Boleto,965.99
326,1661,Debit Card,468.01
327,84,Debit Card,487.0
328,1727,Pix,864.66
329,572,Credit Card,575.92
330,1088,Pix,602.01
331,1367,Pix,805.81
332,1274,Pix,957.38
333,1735,Debit Card,250.47
334,1422,Debit Card,99.48
335,1484,Boleto,612.1
336,1054,Credit Card,932.07
337,926,Credit Card,83.4
338,1277,Debit Card,154.1
339,269,Boleto,819.88
340,1666,Boleto,658.89
341,1452,Debit Card,613.69
342,933,Boleto,591.66
343,709,Pix,404.29
344,1637,Debit Card,678.33
345,1176,Credit Card,409.71
346,1244,Pix,743.33
347,864,Credit Card,167.04
348,1357,Boleto,865.78
349,1560,Boleto,564.6
350,1043,Debit Card,229.1
351,458,Credit Card,57.01
352,1594,Pix,294.59
353,1049,Pix,349.85
354,1888,Pix,768.59
355,1446,Pix,722.49
356,1413,Boleto,714.68
357,653,Pix,493.14
358,1253,Credit Card,477.98
359,736,Pix,405.88
360,1661,Boleto,719.84
361,1572,Pix,106.79
362,1948,Credit Card,905.74
363,855,Pix,456.13
364,191,Debit Card,995.5
365,1771,Boleto,418.8
366,1043,Debit Card,549.99
367,1552,Credit Card,311.99
368,973,Credit Card,682.61
369,1719,Pix,409.39
370,971,Debit Card,580.27
371,473,Boleto,347.62
372,481,Debit Card,757.83
373,1391,Pix,293.65
374,1065,Credit Card,97.05
375,1551,Pix,625.36
376,1871,Debit Card,228.0
377,1751,Debit Card,974.03
378,698,Pix,482.43
379,462,Boleto,366.13
380,1724,Debit Card,463.75
381,1566,Boleto,275.47
382,737,Boleto,172.63
383,1322,Boleto,77.54
384,636,Boleto,971.3
385,1601,Debit Card,808.53
386,1898,Boleto,448.63
387,1771,Debit Card,343.3
388,534,Pix,610.12
389,1986,Credit Card,55.05
390,824,Credit Card,179.95
391,849,Boleto,30.16
392,486,Pix,272.3
393,1709,Boleto,965.41
394,1550,Debit Card,157.56
395,1904,Boleto,674.47
396,78,Boleto,693.04
397,752,Credit Card,441.34
398,795,Debit Card,953.56
399,1476,Debit Card,35.44
400,257,Pix,108.71
401,1777,Credit Card,231.2
402,950,Credit Card,946.32
403,617,Credit Card,546.75
404,1,Boleto,527.78
405,1037,Boleto,540.57
406,1808,Credit Card,600.1
407,249,Boleto,414.76
408,906,Pix,304.77
409,1540,Credit Card,417.26
410,659,Debit Card,321.33
411,1134,Pix,895.75
412,749,Pix,221.22
413,1278,Boleto,58.77
414,734,Debit Card,193.51
415,202,Credit Card,279.87
416,449,Debit Card,180.12
417,1076,Debit Card,23.98
418,1760,Pix,574.07
419,873,Debit Card,604.68
420,542,Pix,536.62
421,1020,Pix,332.64
422,1732,Boleto,959.76
423,1244,Pix,169.34
424,1539,Boleto,508.73
425,1197,Pix,341.58
426,1919,Pix,58.19
427,1679,Debit Card,978.84
428,451,Boleto,699.3
429,826,Boleto,713.15
430,1370,Pix,645.22
431,1067,Pix,60.64
432,350,Debit Card,547.42
433,1601,Boleto,349.76
434,339,Credit Card,450.68
435,203,Credit Card,875.76
436,987,Debit Card,263.68
437,1857,Debit Card,118.17
438,1135,Boleto,68.72
439,912,Debit Card,506.49
440,1166,Credit Card,525.69
441,258,Boleto,932.49
442,1425,Pix,233.67
443,1026,Pix,588.83
444,896,Debit Card,434.34
445,789,Boleto,152.5
446,677,Pix,415.02
447,1514,Debit Card,172.85
448,147,Credit Card,155.76
449,486,Credit Card,198.07
450,1463,Debit Card,242.29
451,1880,Debit Card,131.66
452,402,Boleto,965.41
453,1867,Boleto,924.9
454,1594,Boleto,451.46
455,1486,Credit Card,282.34
456,323,Boleto,591.8
457,982,Boleto,994.74
458,985,Debit Card,552.62
459,1738,Debit Card,693.61
460,862,Credit Card,964.04
461,892,Debit Card,866.02
462,756,Credit Card,690.06
463,523,Boleto,774.39
464,1946,Pix,549.93
465,110,Boleto,863.74
466,465,Debit Card,710.74
467,330,Pix,945.74
468,455,Pix,269.11
469,1977,Debit Card,222.33
470,467,Debit Card,876.61
471,1502,Debit Card,96.64
472,335,Credit Card,62.03
473,75,Boleto,890.07
474,1989,Boleto,466.22
475,550,Pix,352.48
476,190,Debit Card,285.17
477,103,Boleto,252.97
478,542,Credit Card,540.03
479,1295,Debit Card,705.79
480,96,Credit Card,865.02
481,798,Boleto,732.88
482,38,Pix,122.83
483,1808,Credit Card,582.27
484,1643,Debit Card,338.43
485,306,Debit Card,206.87
486,631,Debit Card,215.75
487,1680,Boleto,522.64
488,1913,Pix,155.45
489,1139,Credit Card,994.62
490,986,Credit Card,274.94
491,964,Credit Card,629.61
492,1882,Credit Card,114.51
493,825,Pix,348.34
494,1959,Pix,92.64
495,515,Credit Card,691.41
496,631,Credit Card,369.84
497,1673,Credit Card,514.72
498,1116,Boleto,997.83
499,186,Debit Card,609.53
500,378,Credit Card,393.63
501,313,Pix,413.23
502,780,Debit Card,426.14
503,333,Pix,524.96
504,1436,Credit Card,226.42
505,1955,Boleto,794.65
506,884,Boleto,40.59
507,177,Credit Card,529.5
508,1958,Boleto,770.99
509,115,Boleto,620.55
510,196,Pix,448.32
511,1021,Pix,853.53
512,241,Boleto,951.65
513,618,Boleto,962.56
514,124,Pix,915.93
515,734,Boleto,377.6
516,456,Pix,496.53
517,803,Credit Card,720.92
518,1541,Boleto,143.41
519,1795,Debit Card,444.92
520,754,Credit Card,785.7
521,405,Boleto,845.41
522,919,Credit Card,169.7
523,1371,Boleto,180.7
524,1588,Boleto,353.15
525,1489,Pix,156.15
526,1338,Credit Card,37.31
527,1316,Pix,426.84
528,533,Debit Card,383.32
529,577,Debit Card,208.31
530,1001,Pix,122.63
531,745,Pix,743.19
532,1498,Pix,134.39
533,1562,Debit Card,503.29
534,1296,Credit Card,276.2
535,258,Debit Card,361.11
536,944,Boleto,725.46
537,334,Debit Card,953.38
538,1758,Boleto,372.23
539,476,Boleto,741.14
540,1218,Debit Card,618.43
541,624,Debit Card,702.68
542,1693,Credit Card,241.24
543,1428,Credit Card,973.81
544,1879,Credit Card,339.33
545,548,Debit Card,960.31
546,1075,Boleto,690.75
547,1033,Boleto,304.76
548,1924,Pix,733.08
549,144,Pix,31.02
550,1311,Boleto,698.57
551,994,Credit Card,587.1
552,1631,Boleto,536.01
553,222,Boleto,320.69
554,1333,Boleto,572.02
555,1692,Boleto,816.71
556,310,Debit Card,121.63
557,410,Debit Card,158.0
558,1570,Boleto,586.1
559,932,Credit Card,804.15
560,70,Debit Card,928.07
561,1232,Debit Card,299.88
562,1336,Credit Card,728.19
563,1142,Boleto,651.65
564,1258,Pix,750.19
565,791,Pix,777.66
566,1937,Pix,242.66
567,168,Boleto,64.74
568,154,Credit Card,975.28
569,1706,Boleto,157.46
570,966,Pix,853.29
571,870,Credit Card,57.96
572,896,Debit Card,430.74
573,1001,Credit Card,304.17
574,987,Credit Card,102.03
575,1973,Boleto,998.79
576,1937,Pix,786.3
577,256,Boleto,686.2
578,993,Debit Card,45.45
579,1900,Debit Card,410.52
580,396,Boleto,309.95
581,1348,Pix,781.64
582,265,Boleto,430.22
583,646,Debit Card,551.72
584,237,Credit Card,903.67
585,209,Credit Card,949.7
586,1526,Debit Card,674.94
587,489,Debit Card,131.78
588,1064,Pix,635.4
589,107,Credit Card,803.54
590,312,Boleto,334.47
591,206,Debit Card,159.52
592,650,Boleto,218.28
593,1536,Credit Card,482.86
594,1168,Debit Card,929.9
595,1052,Boleto,116.81
596,784,Pix,876.65
597,158,Debit Card,748.15
598,1339,Debit Card,89.01
599,587,Credit Card,327.0
600,759,Boleto,273.02
601,1158,Pix,841.8
602,1466,Pix,619.26
603,1824,Credit Card,793.12
604,508,Debit Card,488.03
605,510,Credit Card,69.81
606,1550,Credit Card,437.77
607,743,Boleto,917.95
608,869,Credit Card,371.97
609,56,Boleto,571.89
610,1078,Boleto,565.63
611,1683,Pix,729.52
612,322,Debit Card,22.64
613,1551,Credit Card,282.35
614,486,Boleto,793.08
615,1271,Boleto,65.71
616,1896,Pix,809.57
617,932,Credit Card,701.91
618,1820,Credit Card,632.92
619,622,Debit Card,477.51
620,1853,Boleto,383.08
621,1065,Boleto,959.24
622,186,Credit Card,876.87
623,91,Debit Card,524.14
624,1428,Credit Card,674.07
625,562,Credit Card,309.29
626,334,Pix,492.16
627,500,Credit Card,898.18
628,771,Debit Card,389.03
629,1348,Credit Card,522.08
630,911,Boleto,218.35
631,3,Pix,179.34
632,1227,Credit Card,549.01
633,1152,Debit Card,89.1
634,1339,Debit Card,727.81
635,179,Boleto,73.81
636,348,Boleto,925.47
637,1,Debit Card,679.27
638,1560,Pix,470.97
639,340,Credit Card,907.82
640,1588,Credit Card,776.64
641,1412,Credit Card,151.35
642,257,Boleto,349.98
643,1661,Credit Card,186.98
644,792,Pix,237.18
645,634,Boleto,645.84
646,1476,Boleto,655.28
647,1491,Pix,818.15
648,1635,Pix,808.2
649,718,Boleto,277.48
650,1811,Boleto,529.38
651,207,Boleto,795.93
652,364,Boleto,474.53
653,863,Pix,774.55
654,156,Debit Card,759.47
655,399,Debit Card,143.59
656,891,Boleto,101.47
657,1536,Pix,784.56
658,688,Debit Card,104.89
659,1113,Boleto,960.99
660,649,Boleto,237.94
661,630,Credit Card,252.91
662,439,Pix,352.22
663,1632,Pix,412.69
664,1578,Credit Card,328.7
665,1687,Debit Card,298.06
666,1739,Debit Card,163.69
667,892,Boleto,856.3
668,666,Pix,432.46
669,733,Pix,372.38
670,1944,Pix,433.76
671,215,Boleto,665.92
672,1285,Pix,867.51
673,1956,Debit Card,929.92
674,1998,Pix,399.35
675,237,Debit Card,783.87
676,772,Pix,886.77
677,1988,Pix,79.4
678,804,Pix,644.73
679,1616,Pix,720.72
680,1743,Debit Card,891.49
681,1454,Pix,501.12
682,994,Debit Card,295.61
683,1064,Pix,814.97
684,985,Credit Card,859.84
685,1996,Boleto,620.39
686,190,Boleto,675.14
687,1943,Debit Card,967.76
688,1839,Credit Card,36.4
689,291,Debit Card,610.21
690,1438,Pix,641.48
691,1104,Debit Card,73.78
692,448,Credit Card,67.17
693,1851,Debit Card,675.64
694,322,Credit Card,546.45
695,1105,Pix,567.14
696,1599,Boleto,84.32
697,1964,Pix,298.05
698,1931,Boleto,496.0
699,582,Credit Card,291.78
700,1967,Boleto,239.15
701,312,Pix,43.27
702,106,Boleto,677.68
703,519,Debit Card,382.92
704,1085,Boleto,288.75
705,963,Credit Card,349.2
706,195,Debit Card,478.93
707,1473,Debit Card,404.92
708,1826,Credit Card,110.44
709,559,Credit Card,924.38
710,84,Boleto,136.67
711,1614,Credit Card,965.25
712,1511,Pix,995.79
713,1860,Pix,470.17
714,193,Debit Card,482.02
715,960,Debit Card,87.63
716,1787,Credit Card,266.24
717,1781,Pix,864.66
718,1716,Credit Card,851.65
719,632,Credit Card,138.23
720,849,Pix,365.81
721,674,Credit Card,451.97
722,408,Boleto,764.11
723,1361,Pix,637.4
724,977,Debit Card,177.15
725,869,Credit Card,921.68
726,249,Pix,675.96
727,359,Credit Card,86.07
728,1612,Pix,341.4
729,154,Credit Card,884.69
730,439,Debit Card,92.26
731,1640,Debit Card,541.15
732,1055,Boleto,196.74
733,356,Pix,944.54
734,1139,Boleto,429.18
735,1762,Boleto,686.03
736,133,Debit Card,190.83
737,1704,Boleto,254.41
738,550,Pix,26.45
739,1803,Debit Card,348.86
740,1886,Debit Card,401.33
741,865,Pix,262.07
742,503,Debit Card,236.56
743,1090,Boleto,994.5
744,692,Debit Card,107.18
745,417,Credit Card,883.94
746,1718,Debit Card,26.35
747,1438,Boleto,441.92
748,1180,Boleto,827.29
749,1497,Pix,541.74
750,1083,Pix,344.02
751,752,Pix,174.46
752,1945,Pix,75.07
753,1053,Credit Card,426.62
754,703,Debit Card,709.0
755,686,Debit Card,979.16
756,1253,Pix,356.93
757,1390,Debit Card,892.73
758,1907,Credit Card,727.04
759,1648,Credit Card,958.16
760,1027,Pix,707.2
761,796,Boleto,379.26
762,910,Debit Card,428.43
763,1870,Credit Card,574.88
764,627,Credit Card,664.9
765,1518,Debit Card,151.1
766,307,Boleto,249.69
767,1179,Credit Card,126.09
768,1457,Boleto,94.45
769,754,Boleto,967.84
770,69,Debit Card,814.25
771,315,Boleto,867.06
772,489,Debit Card,737.06
773,332,Credit Card,720.39
774,1647,Boleto,604.5
775,807,Debit Card,820.64
776,191,Credit Card,243.11
777,909,Pix,567.9
778,258,Pix,956.08
779,716,Credit Card,473.04
780,1799,Debit Card,338.84
781,262,Debit Card,913.2
782,1157,Pix,731.04
783,1206,Pix,291.23
784,1789,Credit Card,503.92
785,1159,Credit Card,631.1
786,1511,Credit Card,655.47
787,1335,Credit Card,135.21
788,238,Pix,927.54
789,1869,Boleto,406.99
790,1632,Boleto,750.52
791,1197,Debit Card,412.4
792,466,Debit Card,95.48
793,1768,Debit Card,48.32
794,472,Pix,949.17
795,846,Pix,430.26
796,1024,Debit Card,481.03
797,369,Pix,939.66
798,720,Boleto,953.14
799,1604,Debit Card,655.21
800,1202,Credit Card,92.38
801,113,Credit Card,251.99
802,487,Pix,445.46
803,298,Credit Card,629.78
804,1959,Credit Card,772.08
805,1631,Debit Card,86.55
806,1907,Boleto,716.17
807,471,Debit Card,96.48
808,1587,Credit Card,333.69
809,1891,Credit Card,572.0
810,162,Credit Card,979.95
811,590,Credit Card,45.76
812,914,Credit Card,845.77
813,749,Credit Card,213.05
814,1508,Boleto,157.5
815,1879,Debit Card,188.19
816,329,Debit Card,923.05
817,1268,Debit Card,887.85
818,1066,Credit Card,179.3
819,1727,Pix,796.65
820,1165,Debit Card,116.2
821,960,Boleto,352.9
822,1633,Credit Card,391.48
823,211,Pix,615.0
824,938,Debit Card,981.32
825,1387,Credit Card,332.28
826,1320,Pix,75.36
827,1849,Boleto,115.66
828,819,Credit Card,338.12
829,30,Credit Card,410.7
830,1172,Pix,887.08
831,1212,Pix,263.25
832,520,Credit Card,968.53
833,1148,Pix,190.18
834,717,Pix,951.42
835,99,Pix,609.45
836,904,Boleto,316.09
837,594,Boleto,347.6
838,1156,Pix,691.9
839,675,Debit Card,446.84
840,896,Pix,829.91
841,506,Pix,50.23
842,465,Pix,989.59
843,911,Debit Card,551.8
844,1133,Boleto,385.52
845,830,Boleto,379.41
846,1577,Boleto,466.5
847,1042,Boleto,64.66
848,1464,Debit Card,811.79
849,565,Debit Card,94.21
850,1052,Pix,741.97
851,1768,Boleto,952.67
852,546,Boleto,429.71
853,98,Boleto,532.78
854,1073,Credit Card,944.25
855,1699,Credit Card,623.17
856,1121,Pix,570.69
857,1206,Boleto,355.95
858,1073,Credit Card,305.19
859,1287,Debit Card,560.38
860,1987,Debit Card,220.05
861,1479,Credit Card,955.23
862,1052,Boleto,891.49
863,1681,Credit Card,743.57
864,966,Pix,911.5
865,345,Boleto,545.71
866,1668,Boleto,280.77
867,394,Boleto,362.3
868,1330,Credit Card,435.32
869,1279,Credit Card,197.63
870,1918,Boleto,579.42
871,21,Pix,88.59
872,877,Boleto,665.77
873,1249,Credit Card,835.67
874,1611,Pix,258.43
875,1115,Boleto,336.67
876,292,Boleto,694.21
877,481,Boleto,37.54
878,1061,Debit Card,711.23
879,334,Boleto,542.32
880,176,Debit Card,880.9
881,590,Boleto,293.52
882,643,Credit Card,411.48
883,708,Credit Card,446.83
884,944,Boleto,795.75
885,342,Debit Card,877.64
886,1669,Credit Card,196.93
887,1418,Credit Card,357.75
888,341,Debit Card,791.48
889,995,Debit Card,47.35
890,836,Credit Card,279.93
891,1629,Pix,201.47
892,174,Boleto,196.16
893,1547,Credit Card,977.58
894,1171,Pix,249.26
895,139,Debit Card,54.35
896,901,Boleto,72.04
897,363,Pix,42.07
898,988,Pix,373.53
899,1175,Pix,154.68
900,403,Pix,743.46
901,977,Boleto,686.01
902,1158,Pix,249.0
903,734,Pix,627.99
904,764,Credit Card,75.58
905,364,Credit Card,540.76
906,687,Credit Card,917.72
907,789,Boleto,409.29
908,1820,Pix,224.97
909,347,Pix,824.62
910,1613,Credit Card,26.05
911,226,Debit Card,550.93
912,219,Boleto,291.67
913,1413,Pix,927.05
914,1250,Debit Card,402.06
915,1445,Boleto,59.63
916,1479,Pix,378.96
917,666,Boleto,758.05
918,1819,Pix,230.94
919,938,Debit Card,818.85
920,1636,Boleto,398.02
921,260,Boleto,277.62
922,1196,Credit Card,433.36
923,1374,Debit Card,819.3
924,908,Pix,294.93
925,66,Credit Card,867.23
926,516,Credit Card,760.1
927,954,Boleto,241.12
928,1403,Debit Card,268.46
929,443,Credit Card,611.74
930,1185,Pix,711.33
931,203,Pix,928.66
932,1560,Boleto,949.03
933,1554,Boleto,603.13
934,654,Boleto,576.4
935,1756,Credit Card,357.29
936,980,Credit Card,305.31
937,1709,Credit Card,735.02
938,747,Debit Card,874.78
939,222,Boleto,615.31
940,1993,Debit Card,892.22
941,766,Debit Card,506.05
942,590,Boleto,397.51
943,1968,Debit Card,79.49
944,604,Pix,524.0
945,330,Boleto,495.75
946,1792,Debit Card,881.34
947,1689,Credit Card,471.32
948,269,Pix,383.4
949,1390,Debit Card,980.53
950,901,Boleto,812.47
951,1174,Debit Card,71.16
952,414,Debit Card,213.52
953,557,Debit Card,570.99
954,176,Boleto,834.96
955,1424,Debit Card,511.96
956,158,Credit Card,408.57
957,905,Credit Card,153.82
958,1615,Debit Card,824.97
959,598,Pix,934.19
960,159,Credit Card,481.37
961,871,Pix,677.23
962,390,Debit Card,186.75
963,417,Debit Card,963.65
964,145,Pix,905.98
965,1178,Debit Card,919.56
966,851,Debit Card,805.88
967,1019,Boleto,379.62
968,1861,Boleto,142.14
969,761,Credit Card,819.54
970,191,Credit Card,493.5
971,1310,Credit Card,512.56
972,652,Pix,772.56
973,770,Debit Card,562.74
974,1365,Debit Card,187.55
975,654,Credit Card,349.18
976,124,Boleto,996.68
977,294,Credit Card,195.39
978,282,Boleto,413.05
979,1289,Credit Card,292.77
980,1752,Boleto,351.2
981,985,Pix,27.8
982,630,Pix,931.7
983,1679,Debit Card,799.25
984,461,Debit Card,904.62
985,694,Boleto,810.43
986,74,Credit Card,350.85
987,1781,Debit Card,571.33
988,633,Debit Card,275.51
989,1541,Credit Card,478.66
990,508,Credit Card,159.79
991,992,Boleto,571.69
992,975,Boleto,277.34
993,22,Credit Card,226.78
994,1473,Debit Card,333.88
995,1644,Credit Card,321.65
996,1554,Credit Card,86.37
997,790,Debit Card,503.46
998,7,Credit Card,529.9
999,816,Debit Card,768.67
1000,61,Boleto,61.14
1001,1162,Pix,318.13
1002,661,Debit Card,141.56
1003,136,Boleto,761.04
1004,399,Debit Card,583.59
1005,533,Boleto,345.7
1006,1493,Boleto,916.19
1007,543,Boleto,350.0
1008,1948,Boleto,971.78
1009,65,Debit Card,372.38
1010,635,Boleto,439.32
1011,533,Credit Card,397.62
1012,1640,Boleto,196.6
1013,1791,Debit Card,869.96
1014,1176,Boleto,694.11
